0,My review of the #AgentCarter finale https://t.co/Us1xtkw7Cj,review finale
1,RT @AgentCarterSSR: Reminiscing on #AgentCarter season 2: Mrs. Jarvis 💚 such a gem #RenewAgentCarter @lotteverbeek1 https://t.co/RYjfw2OlOP,reminiscing season 2 mrs jarvis 💚 such gem
0,"RT @AgentCarterTV: Or as Jarvis put it, one compelling reason to stay! #AgentCarter https://t.co/MTeDU3raNd",jarvis put one compelling reason stay
0,RT @jenniferrcarey: An hour after the finale ended and #AgentCarter is still trending in Los Angeles!!  #RenewAgentCarter,hour finale ended still trending los angeles
0,RT @EnverGjokaj: Stay in LA... For a hopeful season three  #AgentCarter,stay la hopeful season three
1,"@falenciay And yes, I think Daniel Sousa might be Sharon Carter's dad. #AgentCarter",yes think daniel sousa might sharon carters dad
-1,"Huh two time Oscar nominee, if frost can do why not me #newdream #AgentCarter",huh two time oscar nominee frost why
1,RT @whtbllnking: THAT'S how the season ends???!!! We HAD BETTER get a season 3!!! #AgentCarter https://t.co/dWEvyjGLls,season ends better get season 3
0,"RT @AgentCarterTV: Or as Jarvis put it, one compelling reason to stay! #AgentCarter https://t.co/MTeDU3raNd",jarvis put one compelling reason stay
0,An hour after the finale ended and #AgentCarter is still trending in Los Angeles!!  #RenewAgentCarter,hour finale ended still trending los angeles
1,I'm laughing. IT FINALLY HAPPENED. YES. (and no I'm not talking about Sousa and Carter) #AgentCarter,laughing finally happened yes no notim talking sousa carter
1,RT @PirateLyssa: I've never been so completely enthralled with a show that I've loved everyone involved. And made wonderful friends because…,never completely enthralled show loved everyone involved made wonderful friends because…
0,RT @h20warrior: When #AgentCarter hits Netflix I predict a renaissance of sorts. Bring it on!! @MicheleFazekas @breadandbutters @RealDinges…,hits netflix predict renaissance sorts bring
1,"Okay, guys. Want to help #AgentCarter? Tell @ABCNetwork to renew the show. Please be nice about it. Still more stories to tell.",okay guys want help tell renew show please nice still more stories tell
1,RT @EnverGjokaj: That head bump jumping out that window was not on purpose btw  #AgentCarter,head bump jumping window purpose btw
1,Reminiscing on #AgentCarter season 2: Mrs. Jarvis 💚 such a gem #RenewAgentCarter @lotteverbeek1 https://t.co/RYjfw2OlOP,reminiscing season 2 mrs jarvis 💚 such gem
0,RT @themenguin: It's a Hollywood ending on #AgentCarter...or is it!? Let's talk #abtvcarter on @afterbuzztv! https://t.co/m5maS6iAcA,hollywood ending talk
-1,I'm sad about him dying though 😢💔 #JackThompson #AgentCarter #RenewAgentCarter  https://t.co/EEdEXz8bq3,sad dying though 😢💔
1,RT @MicheleFazekas: Thank you to all the #AgentCarter fans for being so engaging and thoughtful and creative and funny. Hope you're happy. …,thank fans engaging thoughtful creative funny hope happy
1,"RT @SueMChung: Last tweet for season 2, souvenir from when @ACwritersroom made me open 20 clown presents... #AgentCarter https://t.co/VDqye…",last tweet season 2 souvenir made open 20 clown presents
0,RT @MicheleFazekas: D'Arcy spent his time changing everyone's director chairs. I changed his. #AgentCarter https://t.co/KeGs3FzjXR,darcy spent time changing everyones director chairs changed
1,Thank you eb! #AgentCarter,thank eb
