1,"This might just be the best season of #HouseofCards yet.
#7episodesin #HouseofCardsSeason4",might just best season yet
-1,RT @lavidiac: #SHOs #HouseOfCards #CameCrashingDown when they cancelled #TheBorgias @netflix #FixIt with #S4 💞💞 https://t.co/FPRR60Qm8t,cancelled 💞💞
-1,I want more Ellen Burstyn and Robin Wright shared screentime #dramatictension #HouseOfCards,want more ellen burstyn robin wright shared screentime
-1,who needs #HouseOfCards and #RepublicanPrimary when you have #WitchesOfEastEnd? https://t.co/Fq9CBPR3hl,needs
-1,"Just when I think I'm out, they pull me back in @HouseofCards #binge #HouseOfCards #cheatday",just think pull back
-1,"The problem with baby momma's
https://t.co/mSpBrJ1ZRz
#UFC196 #MothersDay #SuperSaturday #AMVCA2016 #AsiaCupT20Final #HouseOfCards",problem baby mommas
0,"RT @daysafterodeo: #HouseofCards inspires me to finesse, scam, cheat and be a snake https://t.co/pUNptAZAPH",inspires finesse scam cheat snake
-1,"Ugh! Last episode!
#HouseOfCards 4x13",ugh last episode 4x13
0,"What a true statement by #FrankUnderwood in @HouseofCards: ""Politics is no longer just theater, it's show business.""",true statement politics no notlonger just theater show business
0,RT @meetthepress: .@KevinSpacey is live on #MTP with @chucktodd! #IfItsSunday #HouseofCards https://t.co/n5rUQnWoB3,live
1,RT @djolder: Also love all the nods at Shakespeare without going full-blown retelling of one or another  #HouseOfCards,also love nods shakespeare without going fullblown retelling one another
-1,"I've gotta finish this week's #NewHustle, rewatch episode 2 of #HouseOfCards, do laundry and progress notes. All before #Quantico tonight.",gotta finish weeks rewatch episode 2 laundry progress notes tonight
1,Anyone else think that the author dude from #HouseOfCards is weirdly hot?,anyone else think author dude weirdly hot
1,@TinaTangJewelry @HouseofCards Thank you!!!,thank
-1,That #HouseOfCards finale made us wish for season 5 to drop today. #LazySunday,finale made wish season 5 drop today
-1,@HouseofCards making up for last season 👌🏻👍🏻,making up last season 👌🏻👍🏻
-1,RT @EW: Not everything is as it seems on the ninth episode of #HouseOfCards—we recap: https://t.co/5DUMdZB0Wu https://t.co/0Qw16oF7u9,everything seems ninth episode —we recap
0,RT @meetthepress: .@KevinSpacey is live on #MTP with @chucktodd! #IfItsSunday #HouseofCards https://t.co/n5rUQnWoB3,live
-1,"RT @ChrisVillani44: I need someone else to finish #HouseOfCards so we can discuss, damn you all for having lives",need someone else finish discuss damn lives
-1,Just finished #HouseOfCards ! When's season5?,just finished season5
-1,"RT @MendellGrinter: Fresh pot of coffee, and 4 more episodes. @HouseofCards it's time to finish what we started. #OneNationUnderwood",fresh pot coffee 4 more episodes time finish started
0,#HouseOfCards is changing my life.,changing life
1,"RT @FallonTonight: Jimmy &amp; @KevinSpacey read #HouseOfCards scenes written by kids, then kids give feedback! https://t.co/V20KLFEK0f https:/…",jimmy read scenes written kids kids give feedback
1,Nahhhhh Claire and frank are a different husband and wife 😩😩😩 #HouseOfCards #HouseOfCardsSeason4,nahhh claire frank different husband wife 😩😩😩
1,Heather Dunbar is such a complete personification of ethics 💙 #HouseOfCards,heather dunbar such complete personification ethics 💙
1,ICYMI: #Houseofcards is here!!! https://t.co/k0U6a68qbh,icymi
-1,"Ut-Oh, Remy got his face cracked. Boop! #HouseOfCards",utoh remy got face cracked boop
1,WOW. S4 of #HouseOfCards blew me away! Also blown away? My vision. Everything's blurry.  Perils of #bingewatching. https://t.co/CPWHqS7NF8,wow s4 blew away also blown away vision everythings blurry perils
0,House Of Cards Season 4 Review: Vampires In The White House https://t.co/HCWERIng3b #beauwillimon #BleedingCool #houseofcards #kevinpacey,house cards season 4 review vampires white house
0,RT @meetthepress: .@KevinSpacey is live on #MTP with @chucktodd! #IfItsSunday #HouseofCards https://t.co/n5rUQnWoB3,live
-1,"Does Underwood not address the camera at all in season 4 of #HouseOfCards? 2 episodes @HouseofCards down, significant changes, nothing.",underwood address camera season 4 2 episodes down significant changes nothing
1,@HouseofCards can't wait to start watching president underwood !!!,cant notwait start watching president underwood
0,RT @Netflix_SE: Hands up if you’ve spotted Joel Kinnaman. 🙋 #HouseofCards,hands up you’ve spotted joel kinnaman 🙋
0,Every time I watch @HouseofCards it makes me want to run for political office. What does that say about me.... 😱,every time watch makes want run political office say 😱
1,In my mail this morning!! #HouseOfCards https://t.co/JFYjszd6eN,mail morning
0,Hands up if you’ve spotted Joel Kinnaman. 🙋 #HouseofCards,hands up you’ve spotted joel kinnaman 🙋
-1,Brother Husbands in the White House and I am not mad! #HouseOfCards,brother husbands white house mad
-1,This makes no damb sense. #HouseOfCards #HouseOfCardsSeason4,makes no notdamb sense
-1,Meechum 😫😫😫#HouseOfCards,meechum 😫😫😫
-1,If you stopped watching #HouseOfCards after season 2. You are lucky. Season 4 was another dud.,stopped watching season 2 lucky season 4 another dud
0,RT @meetthepress: .@KevinSpacey is live on #MTP with @chucktodd! #IfItsSunday #HouseofCards https://t.co/n5rUQnWoB3,live
0,RT @jelani9: This season of #HouseOfCards is set in that quaint era when affiliation with the KKK could actually damage your political care…,season set quaint era affiliation kkk actually damage political care…
-1,Was really hoping for no return of the Thomas Yates character on #HouseOfCards. Seems like a real author making a cameo as an actor.,really hoping no notreturn thomas yates character seems like real author making cameo actor
-1,Just finished episode 6. God they're good together. #HouseOfCards,just finished episode 6 god good together
1,Chapter 43 definitely brought out all the stops. #HouseOfCards,chapter 43 definitely brought stops
-1,RT @CriminelleLaw: If you don't like the way the table is set turn over the table. #HouseOfCards,dont notlike way table set turn over table
0,The amount of powerful women on this show! #HouseOfCards,amount powerful women show
-1,Dude. I do this all the time. This guy is fucking crazy ____ #HouseOfCards https://t.co/IqZVrgefhu,dude time guy fucking crazy
0,"RT @JohnOCJr: Kevin Spacey on @meetthepress: ""There are times when I ask myself did we push (#HouseofCards) too far? Then I turn on the new…",kevin spacey times ask myself push far turn new…
-1,@Joelalvarado @HouseofCards No doubt.#HouseOfCardsSeason4,no notdoubt
1,"RT @HouseofCards: We're not done yet. #HouseofCards
https://t.co/NlCded6yqz",done yet
1,Content We Love: #KevinSpacey #HouseOfCards spoof fun 2 go along 4 the ride @thedailyconvo https://t.co/lq9vtsqrv9 https://t.co/epD46GwQUa,content love spoof fun 2 go along 4 ride
1,It's like the most amazing game of chess you've ever seen #HouseOfCards,like most amazing game chess ever seen
-1,RT @Max_Rizer: Well that was a disturbing start to the season #HouseOfCards,well disturbing start season
-1,"I wish Tom were more attractive, but Claire does have interesting taste in men. #HouseOfCards",wish tom more attractive claire interesting taste men
-1,"Sooooo, when is S5? #HouseOfCards",sooo s5
-1,only 3 more episodes to go 💪🏾 #HouseOfCards,only 3 more episodes go 💪🏾
-1,"RT @HouseofCards: It's time. #HouseofCards
https://t.co/dlmYoONbVn",time
1,RT @NBCBLK: .@HouseofCards is giving us life with @IAmCicelyTyson added to the cast this season. #nospoilers #NetflixBinge https://t.co/kgt…,giving life added cast season
1,I'm loving this season as much as I love ribs. #HouseOfCardsSeason4 #HouseOfCards,loving season much love ribs
1,"Ok, ready for #HouseOfCardsSeason5 now #HouseOfCards https://t.co/RSUVPprJKB",ok ready now
-1,I just finished House of cards season 4 and i feel empty #HouseOfCards #Underwood2016,just finished house cards season 4 feel empty
0,RT @meetthepress: .@KevinSpacey is live on #MTP with @chucktodd! #IfItsSunday #HouseofCards https://t.co/n5rUQnWoB3,live
-1,#HouseOfCards #ClaireUnderwood 👍cap 6 dont stop,👍cap 6 dont notstop
-1,I'm sad that I already finished this season of #HouseOfCards but a #HarryPotter weekend helps to ease the pain #HarryPotterForever,sad already finished season weekend helps ease pain
1,"Wow, after a dismal third season, @HouseofCards bounced back hard. #WhenIsSeasonFive",wow dismal third season bounced back hard
0,FU Frank Underwood #houseofcards,fu frank underwood
0,RT @meetthepress: .@KevinSpacey is live on #MTP with @chucktodd! #IfItsSunday #HouseofCards https://t.co/n5rUQnWoB3,live
-1,I have just finished #HouseOfCards season 4... Now it's time to get back to work 😬💉🌡💊,just finished season 4 now time get back work 😬💉🌡💊
-1,@gaymore11 and meecham from @HouseofCards,meecham
0,RT @Parth_Nikhra: @kamaldwip89 @HouseofCards @KevinSpacey On it..! Ep05 ongoing 😉😊,ep05 ongoing 😉😊
-1,RT @usrowing: Working out 86% of your muscles only takes 30 minutes. #HouseOfCards is at least 42. What's your excuse? https://t.co/MNcGQj3…,working 86% muscles only takes 30 minutes least 42 excuse
1,RT @meetthepress: And that's a wrap on our special #HouseofCards edition of Meet the Press! #IfItsSunday #MTP,wrap our special edition meet press
