1,"Now that I'm all caught up w #JaneTheVirgin, Rafael is no longer the best looking man in life. Please welcome Professor Chavez to the title!",now caught up w rafael no notlonger best looking man life please welcome professor chavez title
-1,RT @KneWKeeD: Jane's confusion between Raphael and Michael is quite annoying #JaneTheVirgin,janes confusion raphael michael quite annoying
-1,"It's cute to me Not like Naija gals dat wud choose Raphael""@KneWKeeD: Jane's confusion between Raphael n Michael is annoying #JaneTheVirgin""",cute like naija gals dat wud choose raphael janes confusion raphael n michael annoying
-1,RT @HereIsGina: Acting exercises with @Brettdier #JaneTheVirgin https://t.co/VCGs2mo0KC,acting exercises
-1,Ugh why did Jane pick Michael? 🙄 #JaneTheVirgin,ugh why jane pick michael 🙄
1,Rogelio is such a gift #JaneTheVirgin,rogelio such gift
-1,Jane's confusion between Raphael and Michael is quite annoying #JaneTheVirgin,janes confusion raphael michael quite annoying
-1,"Sleeping is what I should be doing, but this is soooo freaking good. #JaneTheVirgin I'll finish the 1st disc &amp; call it a night, hopefully",sleeping soo freaking good finish 1st disc call night hopefully
0,"""Russian red head lady in the kitchen"" prison.... RED FROM OITNB?! #JaneTheVirgin",russian red head lady kitchen prison red oitnb
1,"Watching #JaneTheVirgin instead of writing my presentation, lord where are my priorities",watching instead writing presentation lord priorities
1,RT @CWJaneTheVirgin: RT if you're glad Jane is back at the Marbella! #JaneTheVirgin https://t.co/rAaPQeV6tE,glad jane back marbella
1,RT @CWJaneTheVirgin: RT if you're glad Jane is back at the Marbella! #JaneTheVirgin https://t.co/rAaPQeV6tE,glad jane back marbella
1,RT @CWJaneTheVirgin: See if Jane and Rafael can get in sync for Mateo’s sake on the latest #JaneTheVirgin now: https://t.co/C6eoMfgUgz http…,see jane rafael get sync mateo’s sake latest now http…
-1,Michael and Jane are goals 😍😭 #JaneTheVirgin,michael jane goals 😍😭
-1,"RT @AnnRevereJwlry: In which @RogelioDeLaVega is me. 
#JaneTheVirgin #TeamMichael https://t.co/jXsS7j9IDC",
-1,"RT @Rogue_M: Rafael is such a brat.
#JaneTheVirgin",rafael such brat
-1,RT @jaypelll: It's too bad Rafael is sterile and can't get this one-night-stand pregnant. Triple the baby mamas = triple the fun #JaneTheVi…,bad rafael sterile cant notget onenightstand pregnant triple baby mas triple fun
1,"RT @yaelgrobglas: True fact, when Petra stands up for herself and realizes she isn't ""second choice"" is one of my all time favorite scenes …",true fact petra stands up realizes isnt notsecond choice one time favorite scenes
-1,But I just love Raphael #JaneTheVirgin,just love raphael
-1,Or I will stop watching ! &amp;&amp; #JaneTheVirgin is my favorite show,will stop watching &amp&amp favorite show
-1,I need Jane &amp;&amp; Raphael together like now ! #janethevirgin,need jane &amp&amp raphael together like now
1,RT @ITZCRAK: Woke up thinking bout Jane and Rafael...#myfavechoicealways #JaneTheVirgin ...one day she ll realise ..one dAy!!😢,woke up thinking bout jane rafael one day ll realise one day😢
0,"As Seen On #JaneTheVirgin, Sandstone #Beaded Bronze Gold #Embroidered Earrings #JamieEstelle #AsSeenOnTV #fashion https://t.co/hz0oQgdUl7",seen sandstone bronze gold earrings
1,"RT @yaelgrobglas: True fact, when Petra stands up for herself and realizes she isn't ""second choice"" is one of my all time favorite scenes …",true fact petra stands up realizes isnt notsecond choice one time favorite scenes
1,"#JaneTheVirgin  was so good last night, I rented the entire 1st season. Yep",good last night rented entire 1st season yep
-1,RT @Jessica27763: WTH was Rafael thinking last night ??  #JaneTheVirgin,wth rafael thinking last night
-1,WTH was Rafael thinking last night ??  #JaneTheVirgin,wth rafael thinking last night
-1,RT @Tailahj: @RogelioDeLaVega is me. #JaneTheVirgin https://t.co/0lYO0kmp5T,
1,#JaneTheVirgin was so good! Can't wait for next week! #saverogelio,good cant notwait next week
-1,When do we find out how aint-shit Michael fake perfect ass is? Damn! #JaneTheVirgin,find aintshit michael fake perfect ass damn
1,Woke up thinking bout Jane and Rafael...#myfavechoicealways #JaneTheVirgin ...one day she ll realise ..one dAy!!😢,woke up thinking bout jane rafael one day ll realise one day😢
-1,Just finished #JaneTheVirgin &amp; I can't wait to watch the second season 😬😬😬,just finished cant notwait watch second season 😬😬😬
1,Michael and Jane are back together on #JanetheVirgin Read my review of the latest episode here! https://t.co/HjbEyK8HXO,michael jane back together read review latest episode
1,Finally all caught up with #JaneTheVirgin . so many feels. Yay Michael. I love this show!! @CWJaneTheVirgin https://t.co/0ye902nb2r,finally caught up many feels yay michael love show
