1,Supergirl in action! 😂😂 haha lmao xD https://t.co/FU1V2CyYDH,supergirl action 😂😂 ha lmao xd
1,@PenguinTeenAus depending on how A Tangle of Gold works out (I'm 100 pages from the end) possibly Colours of Madeleine. #PTAChat,depending tangle gold works 100 pages end possibly colours madeleine
-1,@supergirl_sass @PenguinTeenAus this is a accurately me right noe,accurately right noe
0,@PenguinTeenAus *falls on floor and sobs*,falls floor sobs
1,"RT @chy_leigh: Yes there's buzz about #supergirl being renewed. Not official yet so until we can #stickaforkinit, let @CBS know you want #S…",yes buzz renewed official yet let know want
1,RT @chy_leigh: #gratituesday #internationalwomensday @melissabenoist ... My better half ... Supergirl sans the… https://t.co/geEHy7PYOe,better half supergirl sans the…
1,"Day 343 | Superman and Supergirl party bento boxes for a super boy who is now 5! Happy Birthday,… https://t.co/Ybry3gY73h",day 343 superman supergirl party bento boxes super boy now 5 happy birthday…
-1,"Batman V Superman, Daredevil (Season 2) and Supergirl crossover with The Flash all in a few weeks!",batman v superman daredevil season 2 supergirl crossover flash few weeks
-1,@supergirl_sass YEP! Evil to the end #PTAChat https://t.co/ebamsDSxbd,yep evil end
-1,@PenguinTeenAus WAIT NO I CHANGED MY MIND IT'S TOTALLY FEELING SORRY FOR CELIA!!! #PTAChat,wait no notchanged mind totally feeling sorry celia
-1,@supergirl_sass Jacob Coote omg @PenguinTeenAus,jacob coote omg
1,"Have a trip with my class next week, excited :D . And cant wait for the Flash and Supergirl crossover ♥♥",trip class next week excited cant notwait flash supergirl crossover ♥♥
1,RT @chy_leigh: #gratituesday #internationalwomensday @melissabenoist ... My better half ... Supergirl sans the… https://t.co/geEHy7PYOe,better half supergirl sans the…
1,"@Kara_OfKrypton -she even bring money on her suit. Descending the staircases he wondered, ""so you publicly go around as Supergirl?"" They-",even bring money suit descending staircases wondered publicly go around supergirl
1,RT @chy_leigh: #gratituesday #internationalwomensday @melissabenoist ... My better half ... Supergirl sans the… https://t.co/geEHy7PYOe,better half supergirl sans the…
1,RT @chy_leigh: #gratituesday #internationalwomensday @melissabenoist ... My better half ... Supergirl sans the… https://t.co/geEHy7PYOe,better half supergirl sans the…
-1,"RT @supergirlcbs: TONIGHT, find out why #Indigo is causing chaos for #Supergirl. RT if you'll be watching at 8/7c! https://t.co/YYqvnI6v2O",tonight find why causing chaos watching 87c
-1,@PenguinTeenAus I haaaaaate you. This is too hard!! But probably Looking For Alibrandi. It's a classic!,haate hard probably looking alibrandi classic
1,RT @chy_leigh: #gratituesday #internationalwomensday @melissabenoist ... My better half ... Supergirl sans the… https://t.co/geEHy7PYOe,better half supergirl sans the…
1,"RT @SoVeryBritish: ""Can I just borrow you?"" 
You're not in trouble 

""Can I just grab you?""
You might be in trouble 

""Can I have a quick w…",just borrow trouble just grab might trouble quick w…
1,@dreamerdreamson @PenguinTeenAus I am SO KEEN for this one! Bring on #YASquad!!!,keen one bring
1,"RT @chy_leigh: Yes there's buzz about #supergirl being renewed. Not official yet so until we can #stickaforkinit, let @CBS know you want #S…",yes buzz renewed official yet let know want
-1,I think I missed a supergirl Ep,think missed supergirl ep
1,RT @amellstephenfan: Stephen Amell would like an Arrow / Supergirl crossover... https://t.co/0I9xSpIIAC https://t.co/ZzVZKlpckO,stephen amell like arrow supergirl crossover
1,"RT @Variety: Good news for #Supergirl, #Limitless and the rest of @CBS' freshman lineup: https://t.co/3LAMArBise https://t.co/CtSpSxECJ5",good news rest freshman lineup
1,Watching Supergirl Season 1 — https://t.co/dJm54eYkyM,watching supergirl season 1 —
0,"RT @wu_yi_fan: 160307 Kris Wu for Supergirl
Press conference broadcast https://t.co/duSwJED2ux",160307 kris wu supergirl press conference broadcast
1,"@PenguinTeenAus going with @ErinOnFridays's THE FLYWHEEL, because I NEED more books from her!! #PTAChat",going s flywheel need more books
1,"Supergirl: season 2 very likely, new trailer https://t.co/M8Lrgz2J8j",supergirl season 2 very likely new trailer
-1,Supergirl is so cute~ part time super hero part time family councelor haha *u* https://t.co/J9N4Lltiw2,supergirl cute part time super hero part time family councelor ha
1,lol Garbage show • CBS Head Indicates Supergirl Will Be Renewed for Season 2 - IGN https://t.co/92WaCAhm3w,lol garbage show • cbs head indicates supergirl will renewed season 2 ign
-1,@millienankivell @PenguinTeenAus I love her. Apparently we're going through all my fictional romances tonight,love apparently going fictional romances tonight
1,"RT @Variety: Good news for #Supergirl, #Limitless and the rest of @CBS' freshman lineup: https://t.co/3LAMArBise https://t.co/CtSpSxECJ5",good news rest freshman lineup
1,"RT @supergirlcbs: It feels so good to be bad. 😈 A new #Supergirl airs Monday, March 14! Catch up: https://t.co/3TUAcEjznV
https://t.co/uEXm…",feels good bad 😈 new airs monday march 14 catch up
1,"RT @kissmemyfan_: [☀️] 160308 misspricee Instagram Update : #Wuyifan BTS for Supergirl 😎
&gt; https://t.co/h6grdPics4 https://t.co/31Tscq8D6C",☀️] 160308 misspricee instagram update bts supergirl 😎 &gt
1,RT @bigbangtheory: TV Supergirls Who Make Amazing Role Models: https://t.co/J7vNRAk74y #InternationalWomensDay #BigBangTheory https://t.co/…,tv supergirls make amazing role models
0,"#Supergirl Solitude"" review https://t.co/nUc1dP0wig #MelissaBenoist #LauraVandervoort #JennaDewanTatum #MehcadBrooks #JeremyJordan #Superman",solitude review
