-1,"RT @OZamMDR1: #NuevoVideo 
Cap.17 Ratchet y Clank, DEADPOOL 2, Civil War, Crossover de Flash y SuperGirl y mas https://t.co/qupCPaQWQX","cap.17 ratchet y clank, deadpool 2, civil war, crossover de flash y supergirl y mas"
-1,@Quadfeeds @supergirlcbs No Supergirl last night because of the Grammys *sad*,no not_supergirl last night grammys *sad*
-1,Supergirl https://t.co/E0aXeOoeCY,supergirl
0,RT @cultjer: First image of The Flash and Supergirl side by side on Set for the upcoming crossover https://t.co/UgHelZdqjD https://t.co/CmF…,first image flash supergirl side side set upcoming crossover
-1,Keep an eye out for #Supergirl on @LimitlessCBS.  https://t.co/Cfq0Dgc1Pq,keep eye
1,"RT @supergirlcbs: Roses are red
Krypton is green
We can't wait for #TheFlash⚡️
on the #Supergirl screen! ✊

#ValentinesDay https://t.co/S1p…",roses red krypton green can't not_wait ⚡️ screen! ✊
1,Supergirl #booty #whooty #NSFW See more at ----&gt; https://t.co/eA9tqQiY6p #ass https://t.co/DVSrKoeNI5,supergirl see ----&gt;
1,RT @supergirlcbs: Take a first look at the #SupergirlxFlash crossover from @CW_TheFlash's @grantgust: https://t.co/qD8xOQlwee https://t.co/…,take first look crossover 's
0,RT @supergirlcbs: Look who's hanging with #Supergirl in National City! ⚡️✊ More BTS photos: https://t.co/QDjgDv9db5 #TheFlash https://t.co/…,look hanging national city! ⚡️✊ bts photos:
1,@afterbuzztv @roxystriar @jeffmasters1 @TauriJay @Micheal_Drew First look at Supergirl’s version of Silver Banshee. https://t.co/7RtA1Ma1IV,first look supergirl’s version silver banshee.
-1,My original plan of Supergirl is a no go.  There isn't a new one.,original plan supergirl no not_go. isn't not_new one.
-1,Wait isn't there a new Supergirl episode?,wait isn't not_new supergirl episode?
-1,REPAIR LENS NIKON!  https://t.co/GunDlPsqDW  #Supergirl #1DUS,repair lens nikon!
0,RT @rkhmelenko: Super Girl #SuperGirl #girl #девушка https://t.co/5XSp3i2Uwz,super girl #девушка
0,RT @cultjer: First image of The Flash and Supergirl side by side on Set for the upcoming crossover https://t.co/UgHelZdqjD https://t.co/CmF…,first image flash supergirl side side set upcoming crossover
1,NowPlaying Anna Naklab &amp; Younotus Ft. Alle Farben - Supergirl (Club Mix) Massive Dance Radio. ListenLive: https://t.co/ANoDGXZR3E,nowplaying anna naklab younotus ft. alle farben - supergirl (club mix) massive dance radio. listenlive:
1,#Supergirl @supergirlcbs @MelissaBenoist  saves people  one episode at a time #Supergirl https://t.co/WN9RSwQtmN,saves people one episode time
1,"Thank you putmeinthestory for two new fantastic books! I know my little bunny/supergirl, Little… https://t.co/M0nmPjxsHA","thank putmeinthestory two new fantastic books! know little bunny/supergirl, little…"
0,helpful https://t.co/qYg564YxRV,helpful
1,"RT @supergirlcbs: Roses are red
Krypton is green
We can't wait for #TheFlash⚡️
on the #Supergirl screen! ✊

#ValentinesDay https://t.co/S1p…",roses red krypton green can't not_wait ⚡️ screen! ✊
1,"#allocentrale supergirl c'est pas mal, mais legends of tomorrow non non non :-(","supergirl c'est pas mal, mais legends tomorrow non non non"
-1,"I have to admit, I really am starting to dig #Supergirl. https://t.co/Jb1iyrF3NF","admit, really starting dig ."
1,RT @Fandomtxtpost: Supergirl + text post 2 https://t.co/bkj3MZpjeA,supergirl + text post 2
-1,The Flash x Supergirl crossover is officially confirmed. Get hype. https://t.co/D6DIPDgYpT,flash x supergirl crossover officially confirmed. get hype.
1,RT @Fandomtxtpost: Supergirl + text post 9 https://t.co/iG3qSUWHof,supergirl + text post 9
0,"RT @nerdist: New creepy #GameofThrones teaser, #Supergirl's Silver Banshee photo, and more: https://t.co/LJkuLu0AS7 https://t.co/ZeOuuiiObo","new creepy teaser, 's silver banshee photo, more:"
-1,RT @Fandomtxtpost: Supergirl + text post 36 https://t.co/qpCow2ItF3,supergirl + text post 36
1,@supergirlcbs was there a Supergirl episode yesterday?,supergirl episode yesterday?
1,RT @tenleid: Wore supergirl today!! https://t.co/4SfrI2aBAp,wore supergirl today!!
1,"RT @supergirlcbs: Roses are red
Krypton is green
We can't wait for #TheFlash⚡️
on the #Supergirl screen! ✊

#ValentinesDay https://t.co/S1p…",roses red krypton green can't not_wait ⚡️ screen! ✊
-1,How Laura Vandervoort Feels About Being Back In The Supergirl Universe https://t.co/Zv4h9SdPE3 #SupergirlCBS,laura vandervoort feels back supergirl universe
-1,How Laura Vandervoort Feels About Being Back In The Supergirl Universe https://t.co/qcCHFs5YZP #SupergirlCBS #storystream #sports,laura vandervoort feels back supergirl universe
1,"RT @FilmFatale_NYC: Best wishes to @Lexialex on her first day directing ""Limitless"" tv series! P.S. her episode of #Supergirl airs next wee…","best wishes first day directing ""limitless"" tv series! p.s. episode airs next wee…"
