1,RT @olicityapostle: . @violettbeane aka jesse quick says she'd love to work with felicity during a potential crossover episode next season.…,aka jesse quick says love work felicity potential crossover episode next season…
1,"RT @WestallenVine: ""there's always that one person"" #westallen #theflash @grantgust @candicekp https://t.co/PfH5v4qAAW",always one person
1,"RT @john_astrid: No break, carry on voting for #WestAllen @grantgust @candicekp here - https://t.co/w7HIvBIwlq #TheFlash https://t.co/Dyhsh…",no notbreak carry voting
-1,"Haha, oh my God, this. All this. :D #TheFlash https://t.co/t1HrsfQM0J",ha oh god
-1,Can @CW_TheFlash have more opportunities for @grantgust to sing? I know it makes no sense...I just like listening to him :P,more opportunities sing know makes no notsensei just like listening
1,"I &lt;3 @CW_TheFlash but every episode I wonder if @grantgust Has a knot/bump on his forehead or if its lighting. And if its a bump, why.",&lt3 every episode wonder knotbump forehead lighting bump why
-1,"Reverse-Flash is back!

#TheFlash is available with Catch Up TV. https://t.co/zvXnRXmDK9",reverseflash back available catch up tv
1,RT @myrcellasear: Keep voting for Barry and Iris on the Zimbio poll! https://t.co/UNXGPgctVO #Westallen #TheFlash https://t.co/GpDVufaonU,keep voting barry iris zimbio poll
1,"RT @newsflash52: Barry realizing he's married to Iris on E2:
#WestAllen #TheFlash @grantgust @candicekp https://t.co/NiwZkAynKW",barry realizing married iris e2
1,"@ThatKevinSmith @CW_TheFlash Awesome, can't wait to see this one!",awesome cant notwait see one
-1,I've just watched episode S02E15 of The Flash (2014)! #TheFlash https://t.co/E50gqLBYP3,just watched episode s02e15 flash 2014
1,RT @myrcellasear: Keep voting for Barry and Iris on the Zimbio poll! https://t.co/UNXGPgctVO #Westallen #TheFlash https://t.co/GpDVufaonU,keep voting barry iris zimbio poll
0,"RT @ArcConvention: If you are a fan of @CW_TheFlash &amp; @CW_Arrow, join us at #ArcCon in Brussels! https://t.co/RlMRWGgE6N #crossover 🎯⚡ http…",fan join brussels 🎯⚡ http…
1,RT @RickCosnett: Love my mug #thallen @grantgust #theflash https://t.co/DhaWmkpyUM,love mug
1,RT @RickCosnett: Love my mug #thallen @grantgust #theflash https://t.co/moqnh2c2vq,love mug
1,"RT @newsflash52: @CW_TheFlash episode 2x13 ""Welcome to Earth 2"" is on again tonight.😉 #WestAllen #TheFlash @grantgust @candicekp https://t.…",episode 2x13 welcome earth 2 tonight😉
-1,"Landens gone to school, catching up with season 2 of @CW_TheFlash as I've recorded it but not watched it yet!",landens gone school catching up season 2 recorded watched yet
-1,RT @ihs0Nz: I've just watched episode S02E12 of The Flash (2014)! #TheFlash  https://t.co/322osioVDK https://t.co/BIGGoEGSxa,just watched episode s02e12 flash 2014
-1,RT @ihs0Nz: I've just watched episode S02E12 of The Flash (2014)! #TheFlash  https://t.co/322osioVDK https://t.co/BIGGoEGSxa,just watched episode s02e12 flash 2014
-1,I've just watched episode S02E12 of The Flash (2014)! #TheFlash  https://t.co/322osioVDK https://t.co/BIGGoEGSxa,just watched episode s02e12 flash 2014
1,"RT @john_astrid: No break, carry on voting for #WestAllen @grantgust @candicekp here - https://t.co/w7HIvBIwlq #TheFlash https://t.co/Dyhsh…",no notbreak carry voting
1,"RT @john_astrid: No break, carry on voting for #WestAllen @grantgust @candicekp here - https://t.co/w7HIvBIwlq #TheFlash https://t.co/Dyhsh…",no notbreak carry voting
1,RT @myrcellasear: Keep voting for Barry and Iris on the Zimbio poll! https://t.co/UNXGPgctVO #Westallen #TheFlash https://t.co/GpDVufaonU,keep voting barry iris zimbio poll
0,"RT @ArcConvention: If you are a fan of @CW_TheFlash &amp; @CW_Arrow, join us at #ArcCon in Brussels! https://t.co/RlMRWGgE6N #crossover 🎯⚡ http…",fan join brussels 🎯⚡ http…
1,"@grantgust @CW_TheFlash The flash was good last night xxx Love it so much xLove u @grantgust , I hope one day I will meet u X",flash good last night xxx love much xlove hope one day will meet x
-1,"RT @kalyanijavdekar: 🎶You don't have to run,You don't have to hide,Coz' I got you
Safe in my hands, safe in my hands🎶#WestAllen #TheFlash h…",🎶you dont notrunyou dont nothidecoz got safe hands safe hands🎶 h…
1,"RT @john_astrid: No break, carry on voting for #WestAllen @grantgust @candicekp here - https://t.co/w7HIvBIwlq #TheFlash https://t.co/Dyhsh…",no notbreak carry voting
-1,"RT @kalyanijavdekar: 🎶You don't have to run,You don't have to hide,Coz' I got you
Safe in my hands, safe in my hands🎶#WestAllen #TheFlash h…",🎶you dont notrunyou dont nothidecoz got safe hands safe hands🎶 h…
0,"RT @ArcConvention: If you are a fan of @CW_TheFlash &amp; @CW_Arrow, join us at #ArcCon in Brussels! https://t.co/RlMRWGgE6N #crossover 🎯⚡ http…",fan join brussels 🎯⚡ http…
0,"RT @ArcConvention: If you are a fan of @CW_TheFlash &amp; @CW_Arrow, join us at #ArcCon in Brussels! https://t.co/RlMRWGgE6N #crossover 🎯⚡ http…",fan join brussels 🎯⚡ http…
1,"If you are a fan of @CW_TheFlash &amp; @CW_Arrow, join us at #ArcCon in Brussels! https://t.co/RlMRWGgE6N #crossover 🎯⚡ https://t.co/UAYH6pw1VG",fan join brussels 🎯⚡
1,"RT @john_astrid: No break, carry on voting for #WestAllen @grantgust @candicekp here - https://t.co/w7HIvBIwlq #TheFlash https://t.co/Dyhsh…",no notbreak carry voting
1,"RT @wanderer765: Iris West: Loving, compassionate, fierce, loyal, forgiving, headstrong, brilliant, hardworking @candicekp #TheFlash https:…",iris west loving compassionate fierce loyal forgiving headstrong brilliant hardworking
1,"RT @john_astrid: No break, carry on voting for #WestAllen @grantgust @candicekp here - https://t.co/w7HIvBIwlq #TheFlash https://t.co/Dyhsh…",no notbreak carry voting
-1,RT @WesleyLPBR: I've just watched episode S01E07 of The Flash (2014)! #TheFlash  https://t.co/uSOzJZzQtF https://t.co/ghLFYeJEJl,just watched episode s01e07 flash 2014
1,"RT @john_astrid: No break, carry on voting for #WestAllen @grantgust @candicekp here - https://t.co/w7HIvBIwlq #TheFlash https://t.co/Dyhsh…",no notbreak carry voting
1,"RT @john_astrid: No break, carry on voting for #WestAllen @grantgust @candicekp here - https://t.co/w7HIvBIwlq #TheFlash https://t.co/Dyhsh…",no notbreak carry voting
-1,I've just watched episode S01E07 of The Flash (2014)! #TheFlash  https://t.co/uSOzJZzQtF https://t.co/ghLFYeJEJl,just watched episode s01e07 flash 2014
